timesteps,episode_reward,episode_length
22350,-3.251505,50
22400,-2.444436,50
22450,-2.581796,50
22500,-2.665884,50
22550,-2.627278,50
22600,-3.811433,50
22650,-3.094876,50
22700,-2.588463,50
22750,-2.726827,50
22800,-2.74806,50
22850,-2.482839,50
22900,-3.161437,50
22950,-2.44193,50
23000,-3.011735,50
23050,-2.645954,50
23100,-2.147017,50
23150,-2.611989,50
23200,-2.352621,50
23250,-2.689834,50
23300,-2.066812,50
23350,-2.751246,50
23400,-2.150908,50
23450,-2.255002,50
23500,-1.743191,50
23550,-2.234114,50
23600,-2.213461,50
23650,-2.203636,50
23700,-3.296447,50
23750,-2.141756,50
23800,-2.297147,50
23850,-2.285648,50
23900,-3.796323,50
23950,-2.603367,50
24000,-2.546078,50
24050,-2.704896,50
24100,-2.046654,50
24150,-1.931358,50
24200,-2.095435,50
24250,-3.73283,50
24300,-2.219847,50
24350,-2.250158,50
24400,-2.166285,50
24450,-2.548559,50
24500,-2.456799,50
24550,-3.22723,50
24600,-1.859375,50
24650,-3.075705,50
24700,-2.701319,50
24750,-2.250684,50
24800,-2.113685,50
24850,-2.293561,50
24900,-3.116452,50
24950,-2.025962,50
25000,-1.94959,50
25050,-2.981184,50
25100,-2.163149,50
25150,-2.288944,50
25200,-2.360448,50
25250,-2.291369,50
25300,-2.247964,50
25350,-2.054269,50
25400,-2.315935,50
25450,-2.753088,50
25500,-2.7986,50
25550,-1.837925,50
25600,-2.215329,50
25650,-2.253208,50
25700,-2.713181,50
25750,-2.174434,50
25800,-2.295291,50
25850,-3.706467,50
25900,-2.734633,50
25950,-2.461388,50
26000,-2.397682,50
26050,-2.623444,50
26100,-2.471176,50
26150,-1.926467,50
26200,-2.173769,50
26250,-1.942978,50
26300,-2.842257,50
26350,-2.968613,50
26400,-2.447894,50
26450,-2.604234,50
26500,-3.09438,50
26550,-4.081457,50
26600,-3.862961,50
26650,-1.939885,50
26700,-2.340919,50
26750,-2.048641,50
26800,-2.885517,50
26850,-1.923032,50
26900,-2.663436,50
26950,-2.303414,50
27000,-3.426115,50
27050,-2.43016,50
27100,-2.442552,50
27150,-2.185791,50
27200,-2.649515,50
27250,-2.442506,50
27300,-2.40814,50
27350,-3.313606,50
27400,-2.123493,50
27450,-2.424953,50
27500,-2.456612,50
27550,-2.315919,50
27600,-2.142163,50
27650,-2.258543,50
27700,-2.185237,50
27750,-2.200475,50
27800,-2.145998,50
27850,-3.380866,50
27900,-2.423844,50
27950,-1.971922,50
28000,-3.005722,50
28050,-2.108786,50
28100,-2.369843,50
28150,-2.503477,50
28200,-2.473358,50
28250,-1.968737,50
28300,-2.301424,50
28350,-2.03796,50
28400,-3.70278,50
28450,-2.145438,50
28500,-2.089241,50
28550,-2.149993,50
28600,-1.854573,50
28650,-3.187059,50
28700,-2.65607,50
28750,-2.641319,50
28800,-2.483129,50
28850,-2.176374,50
28900,-2.39809,50
28950,-3.288587,50
29000,-3.644433,50
29050,-2.558793,50
29100,-2.181135,50
29150,-2.229515,50
29200,-3.270871,50
29250,-2.297985,50
29300,-2.127816,50
