timesteps,episode_reward,episode_length,is_success
21400,-1.0,50,1.0
21450,-2.0,50,1.0
21500,-3.0,50,1.0
21550,-1.0,50,1.0
21600,-2.0,50,1.0
21650,-2.0,50,1.0
21700,-1.0,50,1.0
21750,0.0,50,1.0
21800,0.0,50,1.0
21850,0.0,50,1.0
21900,-1.0,50,1.0
21950,0.0,50,1.0
22000,-1.0,50,1.0
22050,-2.0,50,1.0
22100,-3.0,50,1.0
22150,-1.0,50,1.0
22200,-1.0,50,1.0
22250,-1.0,50,1.0
22300,-2.0,50,1.0
22350,-2.0,50,1.0
22400,-3.0,50,1.0
22450,-2.0,50,1.0
22500,-2.0,50,1.0
22550,-3.0,50,1.0
22600,-3.0,50,1.0
22650,-1.0,50,1.0
22700,-1.0,50,1.0
22750,-2.0,50,1.0
22800,-3.0,50,1.0
22850,-1.0,50,1.0
22900,-2.0,50,1.0
22950,-2.0,50,1.0
23000,-1.0,50,1.0
23050,-2.0,50,1.0
23100,-2.0,50,1.0
23150,-2.0,50,1.0
23200,0.0,50,1.0
23250,-2.0,50,1.0
23300,-2.0,50,1.0
23350,-2.0,50,1.0
23400,-2.0,50,1.0
23450,-3.0,50,1.0
23500,-2.0,50,1.0
23550,-1.0,50,1.0
23600,-2.0,50,1.0
23650,-2.0,50,1.0
23700,-2.0,50,1.0
23750,-2.0,50,1.0
23800,-3.0,50,1.0
23850,-1.0,50,1.0
23900,-3.0,50,1.0
23950,0.0,50,1.0
24000,0.0,50,1.0
24050,0.0,50,1.0
24100,-1.0,50,1.0
24150,-1.0,50,1.0
24200,-2.0,50,1.0
24250,-4.0,50,1.0
24300,0.0,50,1.0
24350,-2.0,50,1.0
24400,-3.0,50,1.0
24450,-7.0,50,1.0
24500,-3.0,50,1.0
24550,-2.0,50,1.0
24600,-2.0,50,1.0
24650,-1.0,50,1.0
24700,-2.0,50,1.0
24750,-2.0,50,1.0
24800,0.0,50,1.0
24850,-1.0,50,1.0
24900,-2.0,50,1.0
24950,-3.0,50,1.0
25000,-3.0,50,1.0
25050,-3.0,50,1.0
25100,-1.0,50,1.0
25150,-2.0,50,1.0
25200,-2.0,50,1.0
25250,-2.0,50,1.0
25300,-1.0,50,1.0
25350,-2.0,50,1.0
25400,-2.0,50,1.0
25450,-3.0,50,1.0
25500,-1.0,50,1.0
25550,-3.0,50,1.0
25600,0.0,50,1.0
25650,-1.0,50,1.0
25700,-1.0,50,1.0
25750,-1.0,50,1.0
25800,-3.0,50,1.0
25850,0.0,50,1.0
25900,-3.0,50,1.0
25950,0.0,50,1.0
26000,-2.0,50,1.0
26050,-3.0,50,1.0
26100,-1.0,50,1.0
26150,-1.0,50,1.0
26200,-2.0,50,1.0
26250,-2.0,50,1.0
26300,0.0,50,1.0
26350,-2.0,50,1.0
26400,-2.0,50,1.0
26450,-2.0,50,1.0
26500,-2.0,50,1.0
26550,-2.0,50,1.0
26600,0.0,50,1.0
26650,-2.0,50,1.0
26700,0.0,50,1.0
26750,-2.0,50,1.0
26800,-1.0,50,1.0
26850,-2.0,50,1.0
26900,-3.0,50,1.0
26950,-3.0,50,1.0
27000,-3.0,50,1.0
27050,-2.0,50,1.0
27100,-2.0,50,1.0
27150,-2.0,50,1.0
27200,-2.0,50,1.0
27250,-2.0,50,1.0
27300,-3.0,50,1.0
27350,0.0,50,1.0
27400,-1.0,50,1.0
27450,-1.0,50,1.0
27500,-2.0,50,1.0
27550,-1.0,50,1.0
27600,-2.0,50,1.0
27650,-3.0,50,1.0
27700,0.0,50,1.0
27750,-2.0,50,1.0
27800,-1.0,50,1.0
27850,-3.0,50,1.0
27900,-1.0,50,1.0
27950,-2.0,50,1.0
28000,-2.0,50,1.0
28050,-1.0,50,1.0
28100,-3.0,50,1.0
28150,0.0,50,1.0
28200,0.0,50,1.0
28250,-3.0,50,1.0
28300,-2.0,50,1.0
28350,-3.0,50,1.0
28400,-2.0,50,1.0
28450,-1.0,50,1.0
28500,-3.0,50,1.0
28550,-5.0,50,1.0
28600,-3.0,50,1.0
28650,-1.0,50,1.0
28700,-2.0,50,1.0
28750,-1.0,50,1.0
28800,-3.0,50,1.0
28850,0.0,50,1.0
28900,-2.0,50,1.0
28950,-1.0,50,1.0
29000,0.0,50,1.0
29050,-3.0,50,1.0
29100,-2.0,50,1.0
29150,-2.0,50,1.0
29200,-1.0,50,1.0
29250,-2.0,50,1.0
29300,-1.0,50,1.0
29350,-2.0,50,1.0
29400,-2.0,50,1.0
29450,-1.0,50,1.0
29500,-3.0,50,1.0
29550,-2.0,50,1.0
29600,-2.0,50,1.0
29650,-3.0,50,1.0
29700,-2.0,50,1.0
29750,-2.0,50,1.0
29800,-2.0,50,1.0
29850,0.0,50,1.0
29900,-2.0,50,1.0
29950,-3.0,50,1.0
30000,-2.0,50,1.0
30050,-2.0,50,1.0
30100,-2.0,50,1.0
30150,-1.0,50,1.0
30200,-2.0,50,1.0
30250,-2.0,50,1.0
30300,-2.0,50,1.0
30350,-1.0,50,1.0
30400,-2.0,50,1.0
30450,0.0,50,1.0
30500,-2.0,50,1.0
30550,-1.0,50,1.0
30600,-2.0,50,1.0
30650,-3.0,50,1.0
30700,-3.0,50,1.0
30750,-2.0,50,1.0
30800,-1.0,50,1.0
30850,-3.0,50,1.0
30900,-2.0,50,1.0
30950,-1.0,50,1.0
31000,-1.0,50,1.0
31050,-2.0,50,1.0
31100,-2.0,50,1.0
31150,-2.0,50,1.0
31200,-3.0,50,1.0
31250,-1.0,50,1.0
31300,-2.0,50,1.0
31350,0.0,50,1.0
31400,-2.0,50,1.0
31450,-2.0,50,1.0
31500,-2.0,50,1.0
31550,-2.0,50,1.0
31600,-1.0,50,1.0
31650,-1.0,50,1.0
31700,-2.0,50,1.0
31750,-2.0,50,1.0
31800,-1.0,50,1.0
31850,-2.0,50,1.0
31900,-1.0,50,1.0
31950,-2.0,50,1.0
32000,-2.0,50,1.0
32050,-2.0,50,1.0
32100,-1.0,50,1.0
32150,-1.0,50,1.0
32200,-4.0,50,1.0
32250,-1.0,50,1.0
32300,-1.0,50,1.0
32350,-2.0,50,1.0
32400,-2.0,50,1.0
32450,-3.0,50,1.0
32500,-3.0,50,1.0
32550,-3.0,50,1.0
32600,-5.0,50,1.0
32650,-2.0,50,1.0
32700,-2.0,50,1.0
32750,-1.0,50,1.0
32800,-2.0,50,1.0
32850,-2.0,50,1.0
32900,-2.0,50,1.0
32950,-2.0,50,1.0
33000,-1.0,50,1.0
33050,-3.0,50,1.0
33100,-1.0,50,1.0
33150,-2.0,50,1.0
33200,-2.0,50,1.0
33250,-3.0,50,1.0
33300,0.0,50,1.0
33350,-1.0,50,1.0
33400,-3.0,50,1.0
33450,-2.0,50,1.0
33500,-2.0,50,1.0
33550,-1.0,50,1.0
33600,-2.0,50,1.0
33650,-1.0,50,1.0
